Termék neve,Nettó anyagköltség,Haszonkulcs,Nettó eladási Ár ,ÁFA,ÁFA-val növelt eladási ár,MOHU Köteles? 
Popcorn Sós Mogyi,217,150%,543,27%,690,
Napraforgó Sós Mogyi,472,120%,1038,27%,1320,
Lay's SÓS chips,298,150%,745,27%,950,
Lay's TEJFÖLÖS- SNIDLINGES,298,150%,745,27%,950,
PomBar sajtos,292,150%,730,27%,930,
Pisztácia Pörkölt-Sós Mogyi,432,120%,950,27%,1210,
Földimogyoró Mogyi,146,150%,365,27%,460,
Baconos Crassh Mogyi,203,150%,508,27%,640,
Chio Taccos,321,120%,706,27%,900,
Chio Sajtos,508,120%,1118,27%,1420,
Chio Hagyományos hagymás,236,150%,590,27%,750,
Gusto Földimogyorós Snack,169,150%,423,27%,540,
Hot dog sima,320,150%,800,5%,840,
Hotdog sajtos,328,150%,820,5%,860,
"Hotdog sajtos, baconos",360,150%,899,5%,940,
Margherita Pizza,1112,150%,2780,5%,2920,
Sonkás Pizza,1692,120%,3722,5%,3910,
Quattro Fromaggi Pizza,1382,150%,3455,5%,3630,
Magyaros Pizza,1692,120%,3722,5%,3910,
Pikáns szalámis Pizza,1372,150%,3430,5%,3600,
"Sonkás, sajtos panini",553,150%,1382,5%,1450,
Vega -sajtkrémes panini,378,150%,946,5%,990,
Tépett húsos szendvics,696,150%,1739,5%,1830,
Bécsis zsemle,740,150%,1851,27%,2350,
Hasábburgonya,411,120%,904,5%,950,
Csirke nuggets 5 db,443,150%,1107,27%,1410,
Csirke nuggets 10 db,624,150%,1559,27%,1980,
Rántott csirkecombfilé,563,150%,1407,27%,1790,
Rioba kávétejszín,10,150%,25,27%,30,
Rioba virágméz,55,150%,138,27%,170,
Sir Morton tea Classic,17,150%,43,27%,50,
Hársfavirág tea,36,150%,90,27%,110,
Sir Morton tea citrom,17,150%,43,27%,50,
Pickwik tea Citrus Bodza ,26,150%,65,27%,80,
Pickwik tea Amour erdei,26,150%,65,27%,80,
Pickwik tea Fusion Apple,26,150%,65,27%,80,
Loyd piramis tea Barack- Cit,24,150%,60,27%,80,
Loyd piramis tea Meggy,24,150%,60,27%,80,
Pickwik tea Szilva fahéj,26,150%,65,27%,80,
Forró citromos tea,76,150%,190,27%,240,
Mantaro Forró csoki ,329,150%,823,27%,1050,
Baguette sonkás FREDDO,585,150%,1462,5%,1540,
Baguette szalámis FREDDO,585,150%,1462,5%,1540,
Baguette tonhalas  FREDDO,585,150%,1462,5%,1540,
"Gösser 0,5 alk.mentes",256,130%,589,27%,750,
"Heineken 0,5 alk.mentes",313,130%,720,27%,910,
"Soproni 0,5",264,130%,607,27%,770,
Csapolt soproni korsó,349,100%,699,27%,890,
Csapolt soproni pohár,210,132%,486,27%,620,
Csapolt meggy korsó,447,145%,1095,27%,1390,
Csapolt meggy pohár,268,185%,764,27%,970,
"Finlandia vodka 0,4",220,349%,987,27%,1250,
"Finlandia vodka 0,2",110,520%,681,27%,870,
"Fütyülős Csokis mogyi 0,4",249,295%,985,27%,1250,
"Fütyülős Csokis mogyi 0,2",125,450%,686,27%,870,
"Gordon's Gin 0,4",302,396%,1498,27%,1900,
"Gordon's Gin 0,2",151,600%,1057,27%,1340,
"Jack Daniels 0,4",344,335%,1498,27%,1900,
"Jack Daniels 0,2",172,502%,1037,27%,1320,
"Jagermeister 0,4",316,248%,1100,27%,1400,
"Jagermeister 0,2",158,390%,774,27%,980,
"Unicum Szilva 0,4",297,245%,1025,27%,1300,
"Unicum Szilva 0,2",148,385%,720,27%,910,
